,,,,HEAT,,,,,,,,,,,KS,,,,,,,,,
,,,,Double,,,,,Single,,,,,,Double,,,,,Single,,,,
,,,,Raw,,,Speedup,,Raw,,,Speedup,,,Raw,,,Speedup,,Raw,,,Speedup,
,,,,Classic,GPUSwept,Hybrid,GPUSwept,Hybrid,Classic,GPUSwept,Hybrid,GPUSwept,Hybrid,,Classic,GPUSwept,Register,GPUSwept,Hybrid,Classic,GPUSwept,Register,GPUSwept,Hybrid
Heat,Double,Classic,2048,4.917,0.833645,1.09897,5.898194075,4.474189468,4.91705,0.811236,1.0248,6.061183182,4.798058158,,9.91836,1.76113,,,,9.79223,1.6597,3.9716,5.9,2.465562997
Heat,Double,Classic,4096,4.97121,0.875279,1.1318,5.679571885,4.392304294,4.9403,0.853146,1.01009,5.790685299,4.890950311,,10.1046,1.76787,,,,9.8536,1.665,4.08429,5.918078078,2.412561302
Heat,Double,Classic,8192,5.12475,0.992467,1.20813,5.163647759,4.241886221,5.06881,0.950057,1.17859,5.335269358,4.300740716,,10.4727,2.11345,,,,10.0937,1.92808,4.35491,5.235104353,2.31777465
Heat,Double,Classic,16384,5.40019,1.21217,1.43036,4.454977437,3.775406191,5.25535,1.1558,1.36557,4.546937186,3.848466208,,11.348,2.68396,,,,10.6567,2.41011,5.10874,4.421665401,2.085974232
Heat,Double,Classic,32768,6.31262,2.0919,2.27476,3.017649027,2.775070777,6.08519,1.99027,2.15423,3.05746959,2.824763373,,13.79,4.74673,,,,13.0226,4.04586,6.62478,3.218747065,1.965740749
Heat,Double,Classic,65536,7.66369,3.49777,3.72007,2.191021708,2.060092955,7.25144,3.30786,3.45827,2.192184675,2.096840328,,18.0061,8.00458,,,,16.3571,6.62487,9.55573,2.469044676,1.711758285
Heat,Double,Classic,131072,16.3379,6.4916,6.67728,2.516775525,2.446789711,9.61924,5.91061,5.98461,1.627453004,1.607329467,,39.2142,14.9032,,,,23.5736,11.7534,15.4563,2.005683462,1.525177436
Heat,Double,Classic,262144,27.7191,12.1229,12.2324,2.286507354,2.266039371,19.2405,11.3732,11.3888,1.691740231,1.689422942,,67.6909,27.4417,,,,44.4832,22.53,30.1257,1.97439858,1.476586436
Heat,Double,Classic,524288,50.018,23.5933,23.5158,2.120008647,2.126995467,32.8329,22.1162,21.8164,1.484563352,1.504964155,,125.496,53.2537,,,,79.1154,43.6569,56.0942,1.812208379,1.410402502
Heat,Double,Classic,1048576,94.9277,46.4549,46.1784,2.043437829,2.055673215,60.5552,43.6292,43.0679,1.387951189,1.406040229,,239.826,105.408,,,,147.931,85.8473,108.116,1.723187567,1.368261867
,,,,,,,,,,,,,,,,,,,,,,,,
KS,Double,MPISwept,2048,14.0166,,,,,,,,,,,,,,,,,,,,
KS,Double,MPISwept,4096,40.8924,,,,,,,,,,,,,,,,,,,,
KS,Double,MPISwept,8192,82.1522,,,,,,,,,,,,,,,,,,,,
KS,Double,MPISwept,16384,110.163,,,,,,,,,,,,,,,,,,,,
KS,Double,MPISwept,32768,350.2,,,,,,,,,,,,,,,,,,,,
KS,Double,MPISwept,65536,751.117,,,,,,,,,,,,,,,,,,,,
KS,Double,MPISwept,131072,969.335,,,,,,,,,,,,,,,,,,,,
KS,Double,MPISwept,262144,7885.21,,,,,,,,,,,,,,,,,,,,
KS,Double,MPISwept,524288,15386.6,,,,,,,,,,,,,,,,,,,,
KS,Double,MPISwept,1048576,27992.2,,,,,,,,,,,,,,,,,,,,
KS,Double,MPIClassic,2048,47.6821,,,,,,,,,,,,,,,,,,,,
KS,Double,MPIClassic,4096,94.6542,,,,,,,,,,,,,,,,,,,,
KS,Double,MPIClassic,8192,173.169,,,,,,,,,,,,,,,,,,,,
KS,Double,MPIClassic,16384,339.917,,,,,,,,,,,,,,,,,,,,
KS,Double,MPIClassic,32768,760.369,,,,,,,,,,,,,,,,,,,,
KS,Double,MPIClassic,65536,1355.64,,,,,,,,,,,,,,,,,,,,
KS,Double,MPIClassic,131072,2701.87,,,,,,,,,,,,,,,,,,,,
KS,Double,MPIClassic,262144,5449.24,,,,,,,,,,,,,,,,,,,,
KS,Double,MPIClassic,524288,11042.7,,,,,,,,,,,,,,,,,,,,
KS,Double,MPIClassic,1048576,21891.5,,,,,,,,,,,,,,,,,,,,
